condition,theta0_deg,T_N,Q_Nm,P_W,tip_AoA_deg,stall_fraction,M_tip
Sea level, ISA,9.000,-453.460,368.4446,28937.57,1.237,0.0000,0.6001
Sea level, ISA,9.708,630.449,366.3499,28773.05,0.730,0.0000,0.6001
Sea level, ISA,10.417,1269.277,411.3205,32305.04,0.363,0.0000,0.6001
Sea level, ISA,11.125,1488.873,462.4105,36317.64,0.119,0.0000,0.6001
Sea level, ISA,11.833,1920.857,516.9464,40600.88,0.002,0.0000,0.6001
Sea level, ISA,12.542,2467.153,587.9479,46177.32,0.055,0.0000,0.6001
Sea level, ISA,13.250,3080.466,678.2051,53266.10,0.174,0.0000,0.6001
Sea level, ISA,13.958,3740.182,788.2441,61908.54,0.322,0.0000,0.6001
Sea level, ISA,14.667,4435.966,918.1634,72112.38,0.490,0.0000,0.6001
Sea level, ISA,15.375,5161.316,1067.9296,83874.99,0.675,0.0000,0.6001
Sea level, ISA,16.083,5911.715,1237.4583,97189.75,0.873,0.0000,0.6001
Sea level, ISA,16.792,6683.829,1426.6460,112048.52,1.082,0.0000,0.6001
Sea level, ISA,17.500,7475.090,1635.3836,128442.72,1.302,0.0000,0.6001
Sea level, ISA,18.208,8283.466,1863.5631,146363.91,1.530,0.0000,0.6001
Sea level, ISA,18.917,9107.303,2111.0815,165803.95,1.767,0.0000,0.6001
Sea level, ISA,19.625,9945.235,2377.8415,186755.24,2.010,0.0000,0.6001
Sea level, ISA,20.333,10796.112,2663.7528,209210.66,2.261,0.0000,0.6001
Sea level, ISA,21.042,11658.957,2968.7320,233163.66,2.518,0.0000,0.6001
Sea level, ISA,21.750,12532.926,3292.7023,258608.23,2.780,0.0000,0.6001
Sea level, ISA,22.458,13417.288,3635.5939,285538.88,3.048,0.0000,0.6001
Sea level, ISA,23.167,14311.403,3997.3432,313950.60,3.322,0.0000,0.6001
Sea level, ISA,23.875,15214.703,4377.8925,343838.87,3.600,0.0000,0.6001
Sea level, ISA,24.583,16126.686,4777.1898,375199.61,3.882,0.0000,0.6001
Sea level, ISA,25.292,17046.901,5195.1887,408029.16,4.170,0.0000,0.6001
Sea level, ISA,26.000,17974.945,5631.8474,442324.26,4.461,0.0000,0.6001
1500 m, ISA+15,9.000,-371.643,301.9663,23716.38,1.237,0.0000,0.5947
1500 m, ISA+15,9.708,516.698,300.2496,23581.55,0.730,0.0000,0.5947
1500 m, ISA+15,10.417,1040.262,337.1062,26476.26,0.363,0.0000,0.5947
1500 m, ISA+15,11.125,1220.236,378.9780,29764.86,0.119,0.0000,0.5947
1500 m, ISA+15,11.833,1574.278,423.6740,33275.28,0.002,0.0000,0.5947
1500 m, ISA+15,12.542,2022.006,481.8647,37845.57,0.055,0.0000,0.5947
1500 m, ISA+15,13.250,2524.659,555.8369,43655.33,0.174,0.0000,0.5947
1500 m, ISA+15,13.958,3065.343,646.0216,50738.41,0.322,0.0000,0.5947
1500 m, ISA+15,14.667,3635.587,752.4996,59101.18,0.490,0.0000,0.5947
1500 m, ISA+15,15.375,4230.063,875.2435,68741.47,0.675,0.0000,0.5947
1500 m, ISA+15,16.083,4845.067,1014.1843,79653.85,0.873,0.0000,0.5947
1500 m, ISA+15,16.792,5477.869,1169.2369,91831.66,1.082,0.0000,0.5947
1500 m, ISA+15,17.500,6126.363,1340.3121,105267.86,1.302,0.0000,0.5947
1500 m, ISA+15,18.208,6788.884,1527.3213,119955.54,1.530,0.0000,0.5947
1500 m, ISA+15,18.917,7464.077,1730.1801,135888.02,1.767,0.0000,0.5947
1500 m, ISA+15,19.625,8150.821,1948.8087,153059.08,2.010,0.0000,0.5947
1500 m, ISA+15,20.333,8848.175,2183.1332,171462.88,2.261,0.0000,0.5947
1500 m, ISA+15,21.042,9555.336,2433.0850,191094.05,2.518,0.0000,0.5947
1500 m, ISA+15,21.750,10271.616,2698.6016,211947.67,2.780,0.0000,0.5947
1500 m, ISA+15,22.458,10996.413,2979.6254,234019.23,3.048,0.0000,0.5947
1500 m, ISA+15,23.167,11729.203,3276.1044,257304.64,3.322,0.0000,0.5947
1500 m, ISA+15,23.875,12469.521,3587.9914,281800.18,3.600,0.0000,0.5947
1500 m, ISA+15,24.583,13216.955,3915.2437,307502.52,3.882,0.0000,0.5947
1500 m, ISA+15,25.292,13971.137,4257.8232,334408.65,4.170,0.0000,0.5947
1500 m, ISA+15,26.000,14731.735,4615.6959,362515.90,4.461,0.0000,0.5947
