collective_deg,J,V_ms,T_N,P_W,CT,CP,eta_p,stall_fraction,M_tip
25,0.1,5.63333,8205.56,186590,0.0135693,0.0017435,0.247734,0,0.538613
25,0.15,8.45,7603.23,182631,0.0125733,0.00170651,0.351788,0,0.538613
25,0.2,11.2667,6959.9,176985,0.0115094,0.00165376,0.44306,0,0.538613
25,0.25,14.0833,6275.31,169362,0.0103773,0.00158253,0.521825,0,0.538613
25,0.3,16.9,5549.71,159455,0.00917742,0.00148996,0.58819,0,0.538613
25,0.35,19.7167,4783.87,146953,0.00791098,0.00137314,0.641851,0,0.538613
25,0.4,22.5333,3979.02,131543,0.00658002,0.00122914,0.681609,0,0.538613
25,0.45,25.35,3136.71,112918,0.0051871,0.00105511,0.704187,0.0125,0.538613
25,0.5,28.1667,2258.72,90787.8,0.00373519,0.000848326,0.700761,0.0375,0.538613
25,0.55,30.9833,1346.96,64876,0.00222744,0.000606205,0.643278,0.075,0.538613
25,0.6,33.8,403.363,34926.7,0.000667033,0.000326357,0.390351,0.1,0.538613
25,0.65,36.6167,-570.196,704.29,-0.00094292,6.58093e-06,-29.645,0.125,0.538613
25,0.7,39.4333,-1571.96,-38007.5,-0.00259951,-0.000355144,nan,0.1625,0.538613
25,0.75,42.25,-2600.31,-81406.3,-0.00430007,-0.000760665,nan,0.1875,0.538613
25,0.8,45.0667,-3653.81,-129673,-0.00604221,-0.00121167,nan,0.225,0.538613
25,0.85,47.8833,-4731.17,-182975,-0.00782383,-0.00170972,nan,0.25,0.538613
25,0.9,50.7,-5831.3,-241464,-0.00964309,-0.00225625,nan,0.2875,0.538613
25,0.95,53.5167,-6953.23,-305283,-0.0114984,-0.00285258,nan,0.325,0.538613
25,1,56.3333,-8096.15,-374565,-0.0133884,-0.00349995,nan,0.3625,0.538613
28,0.1,5.63333,10396,262172,0.0171916,0.00244975,0.22338,0,0.538613
28,0.15,8.45,9788.19,259168,0.0161865,0.00242168,0.319138,0,0.538613
28,0.2,11.2667,9143.22,254536,0.0151199,0.0023784,0.404711,0,0.538613
28,0.25,14.0833,8460.95,248009,0.0139917,0.00231741,0.48046,0,0.538613
28,0.3,16.9,7741.69,239306,0.0128023,0.00223609,0.546725,0,0.538613
28,0.35,19.7167,6986.14,228139,0.0115528,0.00213174,0.603771,0,0.538613
28,0.4,22.5333,6195.36,214219,0.0102451,0.00200168,0.651679,0,0.538613
28,0.45,25.35,5370.65,197264,0.00888132,0.00184324,0.690173,0,0.538613
28,0.5,28.1667,4513.51,176998,0.00746388,0.00165388,0.718259,0.025,0.538613
28,0.55,30.9833,3625.54,153162,0.00599546,0.00143116,0.733412,0.05,0.538613
28,0.6,33.8,2708.36,125512,0.00447875,0.00117279,0.729355,0.075,0.538613
28,0.65,36.6167,1763.57,93817.9,0.00291637,0.000876639,0.688312,0.1,0.538613
28,0.7,39.4333,792.669,57870.1,0.00131082,0.000540741,0.540133,0.125,0.538613
28,0.75,42.25,-202.941,17473.3,-0.000335598,0.000163272,-0.490704,0.15,0.538613
28,0.8,45.0667,-1221.99,-27552.2,-0.00202078,-0.00025745,nan,0.175,0.538613
28,0.85,47.8833,-2263.36,-77372.9,-0.00374286,-0.000722976,nan,0.2,0.538613
28,0.9,50.7,-3326.04,-132143,-0.00550019,-0.00123475,nan,0.2375,0.538613
28,0.95,53.5167,-4409.16,-192005,-0.00729133,-0.0017941,nan,0.2625,0.538613
28,1,56.3333,-5511.98,-257093,-0.00911504,-0.00240229,nan,0.3,0.538613
30,0.1,5.63333,11897.8,319854,0.0196751,0.00298873,0.209546,0.3375,0.538613
30,0.15,8.45,11288,317636,0.0186667,0.002968,0.300293,0,0.538613
30,0.2,11.2667,10643.2,313835,0.0176005,0.00293249,0.382091,0,0.538613
30,0.25,14.0833,9963.45,308198,0.0164763,0.00287982,0.455287,0,0.538613
30,0.3,16.9,9249.01,300458,0.0152949,0.00280749,0.520234,0,0.538613
30,0.35,19.7167,8500.57,290340,0.0140572,0.00271296,0.577264,0,0.538613
30,0.4,22.5333,7719.12,277572,0.0127649,0.00259365,0.62664,0,0.538613
30,0.45,25.35,6905.83,261881,0.01142,0.00244703,0.668482,0,0.538613
30,0.5,28.1667,6062.08,243006,0.0100247,0.00227066,0.702651,0.0125,0.538613
30,0.55,30.9833,5189.31,220696,0.00858144,0.0020622,0.728523,0.0375,0.538613
30,0.6,33.8,4288.99,194713,0.0070926,0.00181941,0.744519,0.0625,0.538613
30,0.65,36.6167,3362.55,164836,0.00556057,0.00154023,0.746957,0.075,0.538613
30,0.7,39.4333,2411.38,130857,0.00398764,0.00122273,0.726662,0.1,0.538613
30,0.75,42.25,1436.75,92584.2,0.00237592,0.000865112,0.655649,0.125,0.538613
30,0.8,45.0667,439.835,49839.9,0.000727345,0.000465707,0.397711,0.15,0.538613
30,0.85,47.8833,-578.321,2458.87,-0.000956356,2.29758e-05,-11.2621,0.175,0.538613
30,0.9,50.7,-1616.79,-49712.5,-0.00267364,-0.000464516,nan,0.2,0.538613
30,0.95,53.5167,-2674.74,-106817,-0.00442316,-0.000998106,nan,0.2375,0.538613
30,1,56.3333,-3751.48,-168989,-0.00620374,-0.00157904,nan,0.2625,0.538613
32,0.1,5.63333,13428.7,383339,0.0222067,0.00358194,0.19734,0.7125,0.538613
32,0.15,8.45,12818,382019,0.0211968,0.0035696,0.283525,0.575,0.538613
32,0.2,11.2667,12174.3,379166,0.0201323,0.00354295,0.36175,0.3625,0.538613
32,0.25,14.0833,11497.6,374538,0.0190134,0.00349971,0.432333,0,0.538613
32,0.3,16.9,10788.5,367881,0.0178407,0.0034375,0.49561,0,0.538613
32,0.35,19.7167,10047.4,358934,0.0166152,0.0033539,0.551916,0,0.538613
32,0.4,22.5333,9275.37,347437,0.0153385,0.00324647,0.601562,0,0.538613
32,0.45,25.35,8473.43,333130,0.0140123,0.00311278,0.644799,0,0.538613
32,0.5,28.1667,7642.87,315761,0.0126388,0.00295049,0.681763,0,0.538613
32,0.55,30.9833,6784.98,295089,0.0112202,0.00275733,0.7124,0.025,0.538613
32,0.6,33.8,5901.12,270884,0.00975855,0.00253115,0.736323,0.0375,0.538613
32,0.65,36.6167,4992.61,242930,0.00825616,0.00226995,0.752533,0.0625,0.538613
32,0.7,39.4333,4060.71,211024,0.0067151,0.00197182,0.758809,0.0875,0.538613
32,0.75,42.25,3106.59,174979,0.0051373,0.00163501,0.75011,0.1125,0.538613
32,0.8,45.0667,2131.34,134618,0.00352456,0.00125788,0.71352,0.1375,0.538613
32,0.85,47.8833,1135.94,89777.8,0.00187848,0.000838888,0.60586,0.15,0.538613
32,0.9,50.7,121.256,40306.3,0.000200518,0.000376624,0.152524,0.175,0.538613
32,0.95,53.5167,-911.948,-13938.7,-0.00150807,-0.000130244,nan,0.2,0.538613
32,1,56.3333,-1963,-73090.6,-0.00324616,-0.000682963,nan,0.225,0.538613
34,0.1,5.63333,14985.9,452612,0.0247818,0.00422923,0.186518,0.8375,0.538613
34,0.15,8.45,14375.1,452297,0.0237718,0.00422629,0.268562,0.7625,0.538613
34,0.2,11.2667,13733.3,450504,0.0227105,0.00420953,0.343457,0.6625,0.538613
34,0.25,14.0833,13060.5,446999,0.0215978,0.00417678,0.411489,0.5375,0.538613
34,0.3,16.9,12357.1,441541,0.0204346,0.00412579,0.472966,0.3625,0.538613
34,0.35,19.7167,11623.7,433883,0.0192218,0.00405422,0.528206,0,0.538613
34,0.4,22.5333,10861.1,423773,0.0179608,0.00395976,0.577521,0,0.538613
34,0.45,25.35,10070.6,410965,0.0166535,0.00384008,0.621194,0,0.538613
34,0.5,28.1667,9253.09,395217,0.0153016,0.00369293,0.659458,0,0.538613
34,0.55,30.9833,8409.9,376295,0.0139073,0.00351612,0.692453,0.0125,0.538613
34,0.6,33.8,7542.26,353979,0.0124725,0.0033076,0.72018,0.025,0.538613
34,0.65,36.6167,6651.37,328057,0.0109992,0.00306538,0.742405,0.05,0.538613
34,0.7,39.4333,5738.41,298332,0.00948948,0.00278763,0.758499,0.075,0.538613
34,0.75,42.25,4804.47,264620,0.00794504,0.00247263,0.767094,0.0875,0.538613
34,0.8,45.0667,3850.54,226748,0.00636755,0.00211875,0.765303,0.1125,0.538613
34,0.85,47.8833,2877.55,184555,0.00475854,0.00172449,0.74659,0.1375,0.538613
34,0.9,50.7,1886.31,137889,0.00311934,0.00128844,0.693569,0.15,0.538613
34,0.95,53.5167,877.531,86610.8,0.00145115,0.000809296,0.542225,0.175,0.538613
34,1,56.3333,-148.138,30587.3,-0.000244972,0.000285809,-0.272829,0.2,0.538613
